#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
45.089	552	45.115	468
45.141	546	45.165	463
45.191	532	45.216	458
45.242	513	45.266	455
45.292	487	45.318	451
45.343	458	45.368	448
45.393	425	45.419	449
45.445	392	45.469	448
45.495	359	45.520	449
45.546	328	45.571	449
45.596	302	45.622	453
45.647	281	45.672	455
45.698	268	45.723	459
45.749	261	45.773	462
45.799	261	45.825	466
45.850	269	45.875	469
45.900	283	45.926	473
45.952	304	45.976	475
46.002	331	46.027	477
46.053	361	46.077	480
46.103	394	46.129	478
46.154	427	46.179	480
46.204	460	46.230	478
46.256	489	46.280	477
46.306	514	46.331	475
46.357	533	46.382	474
46.407	545	46.433	472
46.458	551	46.483	471
46.509	549	46.534	468
46.560	539	46.584	467
46.610	522	46.636	466
46.661	501	46.686	465
46.711	472	46.737	464
46.763	442	46.787	462
46.813	409	46.838	464
46.864	376	46.888	462
46.914	344	46.940	463
46.965	316	46.991	462
47.015	293	47.041	463
47.067	276	47.092	463
47.117	266	47.142	464
47.168	262	47.194	464
47.218	267	47.244	465
47.269	277	47.295	464
47.320	295	47.345	464
47.371	319	47.396	465
47.421	347	47.447	465
47.472	377	47.498	465
47.522	411	47.548	466
47.574	443	47.599	465
47.624	473	47.649	466
47.675	500	47.701	468
47.725	522	47.751	467
47.776	537	47.802	469
47.826	546	47.852	469
47.878	549	47.903	472
47.928	540	47.953	472
47.979	529	48.005	474
48.029	509	48.055	476
48.080	484	48.106	476
48.131	455	48.156	476
48.182	425	48.207	476
48.232	392	48.258	476
48.283	360	48.309	475
48.333	331	48.359	473
48.385	306	48.410	471
48.435	287	48.460	469
48.486	273	48.512	465
48.536	267	48.562	463
48.587	266	48.613	460
48.637	275	48.663	459
48.689	288	48.714	455
48.739	309	48.764	454
48.790	334	48.816	453
48.840	364	48.866	451
48.891	394	48.917	452
48.942	426	48.967	453
48.993	457	49.018	455
49.043	485	49.069	458
49.094	509	49.120	461
49.144	527	49.170	464
49.196	538	49.221	468
49.246	544	49.271	472
49.297	542	49.323	477
49.347	533	49.373	480
49.398	517	49.424	484
49.448	495	49.474	486
49.500	469	49.525	488
49.550	440	49.575	489
49.601	408	49.627	489
49.651	377	49.677	487
49.702	347	49.728	483
49.753	321	49.778	481
49.804	299	49.829	475
49.854	283	49.880	471
49.905	274	49.931	465
49.955	271	49.981	461
50.007	274	50.032	455
50.057	285	50.082	450
50.108	301	50.134	444
50.158	324	50.184	442
50.209	349	50.235	440
50.259	380	50.285	439
50.311	410	50.336	440
50.361	441	50.386	442
50.412	469	50.438	448
50.462	495	50.488	451
50.513	515	50.539	458
50.564	529	50.589	464
50.615	537	50.640	471
50.666	539	50.691	477
50.716	533	50.742	484
50.767	520	50.792	489
50.818	504	50.843	496
50.869	479	50.893	498
50.919	452	50.945	501
50.970	423	50.995	500
51.020	393	51.046	499
51.072	364	51.096	496
51.122	337	51.147	491
51.173	313	51.197	487
51.223	295	51.249	478
51.274	283	51.299	470
51.324	276	51.350	460
51.376	277	51.400	454
51.426	284	51.451	445
51.477	298	51.502	440
51.527	316	51.553	433
51.578	340	51.603	430
51.629	367	51.654	428
51.680	396	51.704	428
51.730	424	51.756	430
51.781	453	51.806	434
51.831	478	51.857	441
51.883	501	51.907	447
51.933	517	51.958	457
51.984	528	52.008	465
52.034	533	52.060	476
52.085	530	52.110	483
52.135	521	52.161	493
52.187	507	52.211	500
52.237	488	52.262	507
52.288	463	52.313	509
52.338	437	52.364	511
52.389	408	52.414	513
52.440	380	52.465	508
52.491	352	52.515	502
52.541	329	52.567	495
52.592	308	52.617	488
52.642	295	52.668	476
52.694	285	52.718	466
52.744	282	52.769	455
52.795	286	52.819	445
52.845	296	52.871	434
52.896	311	52.921	429
52.946	330	52.972	421
52.998	356	53.022	419
53.048	383	53.073	417
53.099	410	53.124	419
53.149	437	53.175	423
53.200	463	53.225	429
53.251	485	53.276	438
53.302	504	53.326	447
53.352	516	53.378	460
53.403	524	53.428	470
53.453	525	53.479	484
53.505	521	53.529	493
53.555	509	53.580	504
53.606	493	53.630	510
53.656	472	53.682	518
53.707	448	53.733	521
53.757	422	53.783	522
53.809	394	53.834	519
53.859	369	53.884	515
53.910	344	53.936	507
53.960	324	53.986	497
